Test,Messages Sent,Messages Received,Loss Count,Loss Rate (%),RTT Avg (us),RTT P50 (us),RTT P99 (us),RTT Max (us),Avg Throughput (Mbps),Max Throughput (Mbps)
drop_0_bursty,61391,70793,0,0.0,41.725251400896575,3.5762786865234375,482.0823669433594,951.2901306152344,737.7899016393444,782.208
drop_0_random,10556,18521,0,0.0,47.569882015966925,7.62939453125,466.79973602294956,638.9617919921875,283.96618666666666,408.8064
drop_10_bursty,62040,57321,4719,7.6063829787234045,36.08598161865864,3.337860107421875,474.9298095703125,766.0388946533203,745.5895081967215,782.208
drop_10_random,10542,34588,0,0.0,61.006546925150495,10.251998901367188,484.84563827514654,613.2125854492188,286.36277333333334,384.8576
drop_20_bursty,62590,66892,0,0.0,29.899045898808062,2.6226043701171875,463.0088806152344,910.7589721679688,752.1993442622951,782.208
drop_20_random,10523,34123,0,0.0,54.1773198573725,9.298324584960938,448.8372802734378,550.2700805664062,282.7636266666667,352.8704
drop_2_bursty,62172,50862,11310,18.1914688284115,32.505155077528514,3.0994415283203125,425.8847236633303,678.3008575439453,747.1758688524591,782.208
drop_2_random,10336,31784,0,0.0,92.72381340387066,36.95487976074219,529.2892456054688,1422.405242919922,270.75328,424.736
drop_5_bursty,63558,64792,0,0.0,18.737626655679687,1.6689300537109375,179.76760864257812,545.0248718261719,776.5631999999998,782.208
drop_5_random,10415,31932,0,0.0,84.8469342741323,33.61701965332031,493.49308013916027,593.6622619628906,264.5000533333333,360.8192
